player_id,player_name,contract_type,base_salary_gbp,performance_bonus_gbp,total_package_gbp,contract_length_years,contract_status,release_clause_gbp,value_score,risk_score,salary_band
1,Ravindra Varma,Domestic,58000,9000,67000,1,Active,37000,74.2,11.29,Strong squad asset
2,Dom Woakes,Academy,122000,19000,141000,2,Active,133000,78.7,38.79,High-value starter
3,Cameron Zampa,Domestic,112000,7000,119000,2,Active,123000,81.1,18.31,High-value starter
4,Mitchell Tickner,Academy,106000,15000,121000,2,Active,76000,76.0,33.15,High-value starter
5,Gerald Elgar,Academy,50000,4000,54000,1,Expiring,62000,65.1,16.95,Strong squad asset
6,Usama Abbasi,Academy,50000,5000,55000,1,Active,35000,68.6,9.47,Strong squad asset
7,Dushmantha Mathews,Domestic,82000,5000,87000,2,Active,110000,78.8,5.71,High-value starter
8,Kemar Shepherd,Domestic,118000,18000,136000,3,Active,173000,78.6,23.06,High-value starter
9,Jonny Salt,Domestic,66000,8000,74000,2,Active,73000,70.3,6.97,Strong squad asset
10,Zak Stokes,Academy,69000,5000,74000,2,Active,80000,74.2,20.49,Strong squad asset
11,Brydon Archer,Overseas,45000,7000,52000,1,Released,60000,68.2,9.07,Strong squad asset
12,Stuart Stokes,Domestic,78000,7000,85000,1,Active,67000,74.6,7.19,Strong squad asset
13,Ruturaj Sharma,Domestic,117000,9000,126000,2,Active,168000,78.9,27.44,High-value starter
14,Liam Salt,Academy,52000,7000,59000,1,Active,38000,71.7,10.72,Strong squad asset
15,Nathan Conway,Domestic,51000,4000,55000,2,Expiring,60000,74.6,35.54,Strong squad asset
16,Neil Sodhi,Domestic,51000,7000,58000,1,Active,65000,66.1,9.18,Strong squad asset
17,Faf Parnell,Domestic,55000,9000,64000,1,Active,31000,74.2,33.49,Strong squad asset
18,Saim Aslam,Domestic,63000,9000,72000,2,Active,89000,70.6,15.06,Strong squad asset
19,Niroshan Udana,Domestic,60000,5000,65000,2,Active,63000,73.4,18.39,Strong squad asset
20,Fabian Thomas,Academy,93000,12000,105000,3,Expiring,83000,83.3,21.29,High-value starter
21,Jonny Anderson,Overseas,107000,21000,128000,2,Active,106000,78.2,26.5,High-value starter
22,Jofra Brook,Domestic,49000,3000,52000,1,Active,57000,69.4,10.44,Strong squad asset
23,Zak Curran,Overseas,55000,5000,60000,1,Active,53000,67.6,17.6,Strong squad asset
24,Harry Ali,Academy,96000,17000,113000,2,Active,117000,78.8,26.5,High-value starter
25,Shreyas Dube,Overseas,100000,16000,116000,2,Active,79000,75.9,22.36,High-value starter
26,Jack Ali,Domestic,72000,8000,80000,1,Released,99000,67.7,8.66,Strong squad asset
27,Alex Zampa,Academy,88000,14000,102000,3,Active,53000,78.1,21.61,High-value starter
28,Tom Phillips,Academy,150000,18000,168000,3,Active,131000,91.3,15.23,Elite / overseas-standard
29,Wayne Ngidi,Academy,65000,12000,77000,1,Expiring,92000,73.5,14.04,Strong squad asset
30,Agha Afridi,Domestic,82000,4000,86000,2,Expiring,113000,80.3,24.58,High-value starter
31,Suranga Karunaratne,Domestic,107000,6000,113000,3,Expiring,154000,82.7,24.28,High-value starter
32,Kavem Gayle,Domestic,24000,3000,27000,1,Active,35000,60.2,32.47,Development / squad
33,Jos Ali,Domestic,47000,7000,54000,1,Expiring,31000,68.7,13.01,Strong squad asset
34,Ollie Buttler,Overseas,78000,15000,93000,2,Expiring,97000,69.0,15.39,Strong squad asset
35,Ben Broad,Academy,123000,11000,134000,2,Released,141000,81.0,22.63,High-value starter
36,Matt Wood,Academy,165000,19000,184000,3,Active,93000,86.7,12.7,Elite / overseas-standard
37,Shreyas Bishnoi,Academy,55000,7000,62000,1,Active,27000,72.1,10.28,Strong squad asset
38,Moeen Archer,Domestic,48000,2000,50000,1,Active,39000,74.5,21.07,Strong squad asset
39,David Hazlewood,Overseas,68000,8000,76000,1,Active,67000,67.7,9.52,Strong squad asset
40,Daryl Chapman,Academy,99000,18000,117000,2,Active,96000,82.1,23.04,High-value starter
41,Heinrich Shamsi,Domestic,49000,8000,57000,1,Active,29000,69.7,16.32,Strong squad asset
